,geometry
57,"POLYGON ((185.375 45.875, 185.375 46.125, 185.125 46.125, 185.125 45.875, 185.375 45.875))"
58,"POLYGON ((185.625 45.875, 185.625 46.125, 185.375 46.125, 185.375 45.875, 185.625 45.875))"
59,"POLYGON ((185.875 45.875, 185.875 46.125, 185.625 46.125, 185.625 45.875, 185.875 45.875))"
60,"POLYGON ((186.125 45.875, 186.125 46.125, 185.875 46.125, 185.875 45.875, 186.125 45.875))"
61,"POLYGON ((186.375 45.875, 186.375 46.125, 186.125 46.125, 186.125 45.875, 186.375 45.875))"
62,"POLYGON ((186.625 45.875, 186.625 46.125, 186.375 46.125, 186.375 45.875, 186.625 45.875))"
63,"POLYGON ((186.875 45.875, 186.875 46.125, 186.625 46.125, 186.625 45.875, 186.875 45.875))"
64,"POLYGON ((187.125 45.875, 187.125 46.125, 186.875 46.125, 186.875 45.875, 187.125 45.875))"
65,"POLYGON ((187.375 45.875, 187.375 46.125, 187.125 46.125, 187.125 45.875, 187.375 45.875))"
66,"POLYGON ((187.625 45.875, 187.625 46.125, 187.375 46.125, 187.375 45.875, 187.625 45.875))"
67,"POLYGON ((187.875 45.875, 187.875 46.125, 187.625 46.125, 187.625 45.875, 187.875 45.875))"
68,"POLYGON ((188.125 45.875, 188.125 46.125, 187.875 46.125, 187.875 45.875, 188.125 45.875))"
69,"POLYGON ((188.375 45.875, 188.375 46.125, 188.125 46.125, 188.125 45.875, 188.375 45.875))"
70,"POLYGON ((188.625 45.875, 188.625 46.125, 188.375 46.125, 188.375 45.875, 188.625 45.875))"
71,"POLYGON ((188.875 45.875, 188.875 46.125, 188.625 46.125, 188.625 45.875, 188.875 45.875))"
72,"POLYGON ((189.125 45.875, 189.125 46.125, 188.875 46.125, 188.875 45.875, 189.125 45.875))"
73,"POLYGON ((189.375 45.875, 189.375 46.125, 189.125 46.125, 189.125 45.875, 189.375 45.875))"
74,"POLYGON ((189.625 45.875, 189.625 46.125, 189.375 46.125, 189.375 45.875, 189.625 45.875))"
75,"POLYGON ((189.875 45.875, 189.875 46.125, 189.625 46.125, 189.625 45.875, 189.875 45.875))"
76,"POLYGON ((190.125 45.875, 190.125 46.125, 189.875 46.125, 189.875 45.875, 190.125 45.875))"
77,"POLYGON ((190.375 45.875, 190.375 46.125, 190.125 46.125, 190.125 45.875, 190.375 45.875))"
78,"POLYGON ((190.625 45.875, 190.625 46.125, 190.375 46.125, 190.375 45.875, 190.625 45.875))"
79,"POLYGON ((190.875 45.875, 190.875 46.125, 190.625 46.125, 190.625 45.875, 190.875 45.875))"
80,"POLYGON ((191.125 45.875, 191.125 46.125, 190.875 46.125, 190.875 45.875, 191.125 45.875))"
81,"POLYGON ((191.375 45.875, 191.375 46.125, 191.125 46.125, 191.125 45.875, 191.375 45.875))"
82,"POLYGON ((191.625 45.875, 191.625 46.125, 191.375 46.125, 191.375 45.875, 191.625 45.875))"
83,"POLYGON ((191.875 45.875, 191.875 46.125, 191.625 46.125, 191.625 45.875, 191.875 45.875))"
84,"POLYGON ((192.125 45.875, 192.125 46.125, 191.875 46.125, 191.875 45.875, 192.125 45.875))"
85,"POLYGON ((192.375 45.875, 192.375 46.125, 192.125 46.125, 192.125 45.875, 192.375 45.875))"
86,"POLYGON ((192.625 45.875, 192.625 46.125, 192.375 46.125, 192.375 45.875, 192.625 45.875))"
87,"POLYGON ((192.875 45.875, 192.875 46.125, 192.625 46.125, 192.625 45.875, 192.875 45.875))"
88,"POLYGON ((193.125 45.875, 193.125 46.125, 192.875 46.125, 192.875 45.875, 193.125 45.875))"
89,"POLYGON ((193.375 45.875, 193.375 46.125, 193.125 46.125, 193.125 45.875, 193.375 45.875))"
90,"POLYGON ((193.625 45.875, 193.625 46.125, 193.375 46.125, 193.375 45.875, 193.625 45.875))"
91,"POLYGON ((193.875 45.875, 193.875 46.125, 193.625 46.125, 193.625 45.875, 193.875 45.875))"
92,"POLYGON ((194.125 45.875, 194.125 46.125, 193.875 46.125, 193.875 45.875, 194.125 45.875))"
93,"POLYGON ((194.375 45.875, 194.375 46.125, 194.125 46.125, 194.125 45.875, 194.375 45.875))"
