,geometry
1198,"POLYGON ((199.875 46.625, 199.875 46.875, 199.625 46.875, 199.625 46.625, 199.875 46.625))"
1199,"POLYGON ((200.125 46.625, 200.125 46.875, 199.875 46.875, 199.875 46.625, 200.125 46.625))"
1200,"POLYGON ((200.375 46.625, 200.375 46.875, 200.125 46.875, 200.125 46.625, 200.375 46.625))"
1201,"POLYGON ((200.625 46.625, 200.625 46.875, 200.375 46.875, 200.375 46.625, 200.625 46.625))"
1202,"POLYGON ((200.875 46.625, 200.875 46.875, 200.625 46.875, 200.625 46.625, 200.875 46.625))"
1203,"POLYGON ((201.125 46.625, 201.125 46.875, 200.875 46.875, 200.875 46.625, 201.125 46.625))"
1204,"POLYGON ((201.375 46.625, 201.375 46.875, 201.125 46.875, 201.125 46.625, 201.375 46.625))"
1205,"POLYGON ((201.625 46.625, 201.625 46.875, 201.375 46.875, 201.375 46.625, 201.625 46.625))"
1206,"POLYGON ((201.875 46.625, 201.875 46.875, 201.625 46.875, 201.625 46.625, 201.875 46.625))"
1207,"POLYGON ((202.125 46.625, 202.125 46.875, 201.875 46.875, 201.875 46.625, 202.125 46.625))"
1208,"POLYGON ((202.375 46.625, 202.375 46.875, 202.125 46.875, 202.125 46.625, 202.375 46.625))"
1209,"POLYGON ((202.625 46.625, 202.625 46.875, 202.375 46.875, 202.375 46.625, 202.625 46.625))"
1210,"POLYGON ((202.875 46.625, 202.875 46.875, 202.625 46.875, 202.625 46.625, 202.875 46.625))"
1211,"POLYGON ((203.125 46.625, 203.125 46.875, 202.875 46.875, 202.875 46.625, 203.125 46.625))"
1212,"POLYGON ((203.375 46.625, 203.375 46.875, 203.125 46.875, 203.125 46.625, 203.375 46.625))"
1213,"POLYGON ((203.625 46.625, 203.625 46.875, 203.375 46.875, 203.375 46.625, 203.625 46.625))"
1214,"POLYGON ((203.875 46.625, 203.875 46.875, 203.625 46.875, 203.625 46.625, 203.875 46.625))"
1215,"POLYGON ((204.125 46.625, 204.125 46.875, 203.875 46.875, 203.875 46.625, 204.125 46.625))"
1216,"POLYGON ((204.375 46.625, 204.375 46.875, 204.125 46.875, 204.125 46.625, 204.375 46.625))"
1217,"POLYGON ((204.625 46.625, 204.625 46.875, 204.375 46.875, 204.375 46.625, 204.625 46.625))"
1218,"POLYGON ((204.875 46.625, 204.875 46.875, 204.625 46.875, 204.625 46.625, 204.875 46.625))"
1219,"POLYGON ((205.125 46.625, 205.125 46.875, 204.875 46.875, 204.875 46.625, 205.125 46.625))"
1220,"POLYGON ((205.375 46.625, 205.375 46.875, 205.125 46.875, 205.125 46.625, 205.375 46.625))"
1221,"POLYGON ((205.625 46.625, 205.625 46.875, 205.375 46.875, 205.375 46.625, 205.625 46.625))"
1222,"POLYGON ((205.875 46.625, 205.875 46.875, 205.625 46.875, 205.625 46.625, 205.875 46.625))"
1223,"POLYGON ((206.125 46.625, 206.125 46.875, 205.875 46.875, 205.875 46.625, 206.125 46.625))"
1224,"POLYGON ((206.375 46.625, 206.375 46.875, 206.125 46.875, 206.125 46.625, 206.375 46.625))"
1225,"POLYGON ((206.625 46.625, 206.625 46.875, 206.375 46.875, 206.375 46.625, 206.625 46.625))"
1226,"POLYGON ((206.875 46.625, 206.875 46.875, 206.625 46.875, 206.625 46.625, 206.875 46.625))"
1227,"POLYGON ((207.125 46.625, 207.125 46.875, 206.875 46.875, 206.875 46.625, 207.125 46.625))"
1228,"POLYGON ((207.375 46.625, 207.375 46.875, 207.125 46.875, 207.125 46.625, 207.375 46.625))"
1229,"POLYGON ((207.625 46.625, 207.625 46.875, 207.375 46.875, 207.375 46.625, 207.625 46.625))"
1230,"POLYGON ((207.875 46.625, 207.875 46.875, 207.625 46.875, 207.625 46.625, 207.875 46.625))"
1231,"POLYGON ((208.125 46.625, 208.125 46.875, 207.875 46.875, 207.875 46.625, 208.125 46.625))"
1232,"POLYGON ((208.375 46.625, 208.375 46.875, 208.125 46.875, 208.125 46.625, 208.375 46.625))"
1233,"POLYGON ((208.625 46.625, 208.625 46.875, 208.375 46.875, 208.375 46.625, 208.625 46.625))"
1234,"POLYGON ((208.875 46.625, 208.875 46.875, 208.625 46.875, 208.625 46.625, 208.875 46.625))"
1235,"POLYGON ((209.125 46.625, 209.125 46.875, 208.875 46.875, 208.875 46.625, 209.125 46.625))"
1236,"POLYGON ((209.375 46.625, 209.375 46.875, 209.125 46.875, 209.125 46.625, 209.375 46.625))"
1237,"POLYGON ((209.625 46.625, 209.625 46.875, 209.375 46.875, 209.375 46.625, 209.625 46.625))"
1238,"POLYGON ((209.875 46.625, 209.875 46.875, 209.625 46.875, 209.625 46.625, 209.875 46.625))"
1239,"POLYGON ((210.125 46.625, 210.125 46.875, 209.875 46.875, 209.875 46.625, 210.125 46.625))"
1240,"POLYGON ((210.375 46.625, 210.375 46.875, 210.125 46.875, 210.125 46.625, 210.375 46.625))"
1241,"POLYGON ((210.625 46.625, 210.625 46.875, 210.375 46.875, 210.375 46.625, 210.625 46.625))"
1242,"POLYGON ((210.875 46.625, 210.875 46.875, 210.625 46.875, 210.625 46.625, 210.875 46.625))"
1243,"POLYGON ((211.125 46.625, 211.125 46.875, 210.875 46.875, 210.875 46.625, 211.125 46.625))"
1244,"POLYGON ((211.375 46.625, 211.375 46.875, 211.125 46.875, 211.125 46.625, 211.375 46.625))"
1245,"POLYGON ((211.625 46.625, 211.625 46.875, 211.375 46.875, 211.375 46.625, 211.625 46.625))"
1246,"POLYGON ((211.875 46.625, 211.875 46.875, 211.625 46.875, 211.625 46.625, 211.875 46.625))"
1247,"POLYGON ((212.125 46.625, 212.125 46.875, 211.875 46.875, 211.875 46.625, 212.125 46.625))"
1248,"POLYGON ((212.375 46.625, 212.375 46.875, 212.125 46.875, 212.125 46.625, 212.375 46.625))"
1249,"POLYGON ((212.625 46.625, 212.625 46.875, 212.375 46.875, 212.375 46.625, 212.625 46.625))"
1250,"POLYGON ((212.875 46.625, 212.875 46.875, 212.625 46.875, 212.625 46.625, 212.875 46.625))"
1251,"POLYGON ((213.125 46.625, 213.125 46.875, 212.875 46.875, 212.875 46.625, 213.125 46.625))"
1252,"POLYGON ((213.375 46.625, 213.375 46.875, 213.125 46.875, 213.125 46.625, 213.375 46.625))"
1253,"POLYGON ((213.625 46.625, 213.625 46.875, 213.375 46.875, 213.375 46.625, 213.625 46.625))"
1254,"POLYGON ((213.875 46.625, 213.875 46.875, 213.625 46.875, 213.625 46.625, 213.875 46.625))"
1255,"POLYGON ((214.125 46.625, 214.125 46.875, 213.875 46.875, 213.875 46.625, 214.125 46.625))"
1256,"POLYGON ((214.375 46.625, 214.375 46.875, 214.125 46.875, 214.125 46.625, 214.375 46.625))"
1257,"POLYGON ((214.625 46.625, 214.625 46.875, 214.375 46.875, 214.375 46.625, 214.625 46.625))"
1258,"POLYGON ((214.875 46.625, 214.875 46.875, 214.625 46.875, 214.625 46.625, 214.875 46.625))"
1259,"POLYGON ((215.125 46.625, 215.125 46.875, 214.875 46.875, 214.875 46.625, 215.125 46.625))"
1260,"POLYGON ((215.375 46.625, 215.375 46.875, 215.125 46.875, 215.125 46.625, 215.375 46.625))"
1261,"POLYGON ((215.625 46.625, 215.625 46.875, 215.375 46.875, 215.375 46.625, 215.625 46.625))"
1262,"POLYGON ((215.875 46.625, 215.875 46.875, 215.625 46.875, 215.625 46.625, 215.875 46.625))"
1263,"POLYGON ((216.125 46.625, 216.125 46.875, 215.875 46.875, 215.875 46.625, 216.125 46.625))"
1264,"POLYGON ((216.375 46.625, 216.375 46.875, 216.125 46.875, 216.125 46.625, 216.375 46.625))"
1265,"POLYGON ((216.625 46.625, 216.625 46.875, 216.375 46.875, 216.375 46.625, 216.625 46.625))"
1266,"POLYGON ((216.875 46.625, 216.875 46.875, 216.625 46.875, 216.625 46.625, 216.875 46.625))"
1267,"POLYGON ((217.125 46.625, 217.125 46.875, 216.875 46.875, 216.875 46.625, 217.125 46.625))"
1268,"POLYGON ((217.375 46.625, 217.375 46.875, 217.125 46.875, 217.125 46.625, 217.375 46.625))"
1269,"POLYGON ((217.625 46.625, 217.625 46.875, 217.375 46.875, 217.375 46.625, 217.625 46.625))"
1270,"POLYGON ((217.875 46.625, 217.875 46.875, 217.625 46.875, 217.625 46.625, 217.875 46.625))"
1271,"POLYGON ((218.125 46.625, 218.125 46.875, 217.875 46.875, 217.875 46.625, 218.125 46.625))"
1272,"POLYGON ((218.375 46.625, 218.375 46.875, 218.125 46.875, 218.125 46.625, 218.375 46.625))"
1273,"POLYGON ((218.625 46.625, 218.625 46.875, 218.375 46.875, 218.375 46.625, 218.625 46.625))"
1274,"POLYGON ((218.875 46.625, 218.875 46.875, 218.625 46.875, 218.625 46.625, 218.875 46.625))"
1275,"POLYGON ((219.125 46.625, 219.125 46.875, 218.875 46.875, 218.875 46.625, 219.125 46.625))"
1276,"POLYGON ((219.375 46.625, 219.375 46.875, 219.125 46.875, 219.125 46.625, 219.375 46.625))"
1277,"POLYGON ((219.625 46.625, 219.625 46.875, 219.375 46.875, 219.375 46.625, 219.625 46.625))"
1278,"POLYGON ((219.875 46.625, 219.875 46.875, 219.625 46.875, 219.625 46.625, 219.875 46.625))"
1279,"POLYGON ((220.125 46.625, 220.125 46.875, 219.875 46.875, 219.875 46.625, 220.125 46.625))"
1280,"POLYGON ((220.375 46.625, 220.375 46.875, 220.125 46.875, 220.125 46.625, 220.375 46.625))"
1281,"POLYGON ((220.625 46.625, 220.625 46.875, 220.375 46.875, 220.375 46.625, 220.625 46.625))"
1282,"POLYGON ((220.875 46.625, 220.875 46.875, 220.625 46.875, 220.625 46.625, 220.875 46.625))"
1283,"POLYGON ((221.125 46.625, 221.125 46.875, 220.875 46.875, 220.875 46.625, 221.125 46.625))"
1284,"POLYGON ((221.375 46.625, 221.375 46.875, 221.125 46.875, 221.125 46.625, 221.375 46.625))"
1285,"POLYGON ((221.625 46.625, 221.625 46.875, 221.375 46.875, 221.375 46.625, 221.625 46.625))"
1286,"POLYGON ((221.875 46.625, 221.875 46.875, 221.625 46.875, 221.625 46.625, 221.875 46.625))"
1287,"POLYGON ((222.125 46.625, 222.125 46.875, 221.875 46.875, 221.875 46.625, 222.125 46.625))"
1288,"POLYGON ((222.375 46.625, 222.375 46.875, 222.125 46.875, 222.125 46.625, 222.375 46.625))"
1289,"POLYGON ((222.625 46.625, 222.625 46.875, 222.375 46.875, 222.375 46.625, 222.625 46.625))"
1290,"POLYGON ((222.875 46.625, 222.875 46.875, 222.625 46.875, 222.625 46.625, 222.875 46.625))"
1291,"POLYGON ((223.125 46.625, 223.125 46.875, 222.875 46.875, 222.875 46.625, 223.125 46.625))"
1292,"POLYGON ((223.375 46.625, 223.375 46.875, 223.125 46.875, 223.125 46.625, 223.375 46.625))"
1293,"POLYGON ((223.625 46.625, 223.625 46.875, 223.375 46.875, 223.375 46.625, 223.625 46.625))"
1294,"POLYGON ((223.875 46.625, 223.875 46.875, 223.625 46.875, 223.625 46.625, 223.875 46.625))"
1295,"POLYGON ((224.125 46.625, 224.125 46.875, 223.875 46.875, 223.875 46.625, 224.125 46.625))"
1296,"POLYGON ((224.375 46.625, 224.375 46.875, 224.125 46.875, 224.125 46.625, 224.375 46.625))"
1297,"POLYGON ((224.625 46.625, 224.625 46.875, 224.375 46.875, 224.375 46.625, 224.625 46.625))"
1298,"POLYGON ((224.875 46.625, 224.875 46.875, 224.625 46.875, 224.625 46.625, 224.875 46.625))"
1299,"POLYGON ((225.125 46.625, 225.125 46.875, 224.875 46.875, 224.875 46.625, 225.125 46.625))"
1300,"POLYGON ((225.375 46.625, 225.375 46.875, 225.125 46.875, 225.125 46.625, 225.375 46.625))"
1301,"POLYGON ((225.625 46.625, 225.625 46.875, 225.375 46.875, 225.375 46.625, 225.625 46.625))"
1302,"POLYGON ((225.875 46.625, 225.875 46.875, 225.625 46.875, 225.625 46.625, 225.875 46.625))"
1303,"POLYGON ((226.125 46.625, 226.125 46.875, 225.875 46.875, 225.875 46.625, 226.125 46.625))"
1304,"POLYGON ((226.375 46.625, 226.375 46.875, 226.125 46.875, 226.125 46.625, 226.375 46.625))"
1305,"POLYGON ((226.625 46.625, 226.625 46.875, 226.375 46.875, 226.375 46.625, 226.625 46.625))"
1306,"POLYGON ((226.875 46.625, 226.875 46.875, 226.625 46.875, 226.625 46.625, 226.875 46.625))"
1307,"POLYGON ((227.125 46.625, 227.125 46.875, 226.875 46.875, 226.875 46.625, 227.125 46.625))"
1308,"POLYGON ((227.375 46.625, 227.375 46.875, 227.125 46.875, 227.125 46.625, 227.375 46.625))"
1309,"POLYGON ((227.625 46.625, 227.625 46.875, 227.375 46.875, 227.375 46.625, 227.625 46.625))"
1310,"POLYGON ((227.875 46.625, 227.875 46.875, 227.625 46.875, 227.625 46.625, 227.875 46.625))"
1311,"POLYGON ((228.125 46.625, 228.125 46.875, 227.875 46.875, 227.875 46.625, 228.125 46.625))"
1312,"POLYGON ((228.375 46.625, 228.375 46.875, 228.125 46.875, 228.125 46.625, 228.375 46.625))"
1313,"POLYGON ((228.625 46.625, 228.625 46.875, 228.375 46.875, 228.375 46.625, 228.625 46.625))"
1314,"POLYGON ((228.875 46.625, 228.875 46.875, 228.625 46.875, 228.625 46.625, 228.875 46.625))"
1315,"POLYGON ((229.125 46.625, 229.125 46.875, 228.875 46.875, 228.875 46.625, 229.125 46.625))"
1316,"POLYGON ((229.375 46.625, 229.375 46.875, 229.125 46.875, 229.125 46.625, 229.375 46.625))"
1317,"POLYGON ((229.625 46.625, 229.625 46.875, 229.375 46.875, 229.375 46.625, 229.625 46.625))"
1318,"POLYGON ((229.875 46.625, 229.875 46.875, 229.625 46.875, 229.625 46.625, 229.875 46.625))"
1319,"POLYGON ((230.125 46.625, 230.125 46.875, 229.875 46.875, 229.875 46.625, 230.125 46.625))"
1320,"POLYGON ((230.375 46.625, 230.375 46.875, 230.125 46.875, 230.125 46.625, 230.375 46.625))"
1321,"POLYGON ((230.625 46.625, 230.625 46.875, 230.375 46.875, 230.375 46.625, 230.625 46.625))"
1322,"POLYGON ((230.875 46.625, 230.875 46.875, 230.625 46.875, 230.625 46.625, 230.875 46.625))"
1323,"POLYGON ((231.125 46.625, 231.125 46.875, 230.875 46.875, 230.875 46.625, 231.125 46.625))"
1324,"POLYGON ((231.375 46.625, 231.375 46.875, 231.125 46.875, 231.125 46.625, 231.375 46.625))"
1325,"POLYGON ((231.625 46.625, 231.625 46.875, 231.375 46.875, 231.375 46.625, 231.625 46.625))"
1326,"POLYGON ((231.875 46.625, 231.875 46.875, 231.625 46.875, 231.625 46.625, 231.875 46.625))"
1327,"POLYGON ((232.125 46.625, 232.125 46.875, 231.875 46.875, 231.875 46.625, 232.125 46.625))"
1328,"POLYGON ((232.375 46.625, 232.375 46.875, 232.125 46.875, 232.125 46.625, 232.375 46.625))"
1329,"POLYGON ((232.625 46.625, 232.625 46.875, 232.375 46.875, 232.375 46.625, 232.625 46.625))"
1330,"POLYGON ((232.875 46.625, 232.875 46.875, 232.625 46.875, 232.625 46.625, 232.875 46.625))"
1331,"POLYGON ((233.125 46.625, 233.125 46.875, 232.875 46.875, 232.875 46.625, 233.125 46.625))"
1332,"POLYGON ((233.375 46.625, 233.375 46.875, 233.125 46.875, 233.125 46.625, 233.375 46.625))"
1333,"POLYGON ((233.625 46.625, 233.625 46.875, 233.375 46.875, 233.375 46.625, 233.625 46.625))"
1334,"POLYGON ((233.875 46.625, 233.875 46.875, 233.625 46.875, 233.625 46.625, 233.875 46.625))"
1335,"POLYGON ((234.125 46.625, 234.125 46.875, 233.875 46.875, 233.875 46.625, 234.125 46.625))"
1336,"POLYGON ((234.375 46.625, 234.375 46.875, 234.125 46.875, 234.125 46.625, 234.375 46.625))"
1337,"POLYGON ((234.625 46.625, 234.625 46.875, 234.375 46.875, 234.375 46.625, 234.625 46.625))"
1338,"POLYGON ((234.875 46.625, 234.875 46.875, 234.625 46.875, 234.625 46.625, 234.875 46.625))"
1339,"POLYGON ((235.125 46.625, 235.125 46.875, 234.875 46.875, 234.875 46.625, 235.125 46.625))"
1340,"POLYGON ((235.375 46.625, 235.375 46.875, 235.125 46.875, 235.125 46.625, 235.375 46.625))"
1341,"POLYGON ((235.625 46.625, 235.625 46.875, 235.375 46.875, 235.375 46.625, 235.625 46.625))"
1342,"POLYGON ((235.875 46.625, 235.875 46.875, 235.625 46.875, 235.625 46.625, 235.875 46.625))"
1343,"POLYGON ((236.125 46.625, 236.125 46.875, 235.875 46.875, 235.875 46.625, 236.125 46.625))"
1344,"POLYGON ((236.375 46.625, 236.375 46.875, 236.125 46.875, 236.125 46.625, 236.375 46.625))"
1345,"POLYGON ((236.625 46.625, 236.625 46.875, 236.375 46.875, 236.375 46.625, 236.625 46.625))"
1346,"POLYGON ((236.875 46.625, 236.875 46.875, 236.625 46.875, 236.625 46.625, 236.875 46.625))"
1347,"POLYGON ((237.125 46.625, 237.125 46.875, 236.875 46.875, 236.875 46.625, 237.125 46.625))"
1348,"POLYGON ((237.375 46.625, 237.375 46.875, 237.125 46.875, 237.125 46.625, 237.375 46.625))"
1349,"POLYGON ((237.625 46.625, 237.625 46.875, 237.375 46.875, 237.375 46.625, 237.625 46.625))"
1350,"POLYGON ((237.875 46.625, 237.875 46.875, 237.625 46.875, 237.625 46.625, 237.875 46.625))"
1351,"POLYGON ((238.125 46.625, 238.125 46.875, 237.875 46.875, 237.875 46.625, 238.125 46.625))"
1352,"POLYGON ((238.375 46.625, 238.375 46.875, 238.125 46.875, 238.125 46.625, 238.375 46.625))"
1353,"POLYGON ((238.625 46.625, 238.625 46.875, 238.375 46.875, 238.375 46.625, 238.625 46.625))"
1354,"POLYGON ((238.875 46.625, 238.875 46.875, 238.625 46.875, 238.625 46.625, 238.875 46.625))"
1355,"POLYGON ((239.125 46.625, 239.125 46.875, 238.875 46.875, 238.875 46.625, 239.125 46.625))"
1356,"POLYGON ((239.375 46.625, 239.375 46.875, 239.125 46.875, 239.125 46.625, 239.375 46.625))"
1357,"POLYGON ((239.625 46.625, 239.625 46.875, 239.375 46.875, 239.375 46.625, 239.625 46.625))"
1358,"POLYGON ((239.875 46.625, 239.875 46.875, 239.625 46.875, 239.625 46.625, 239.875 46.625))"
1359,"POLYGON ((240.125 46.625, 240.125 46.875, 239.875 46.875, 239.875 46.625, 240.125 46.625))"
1360,"POLYGON ((240.375 46.625, 240.375 46.875, 240.125 46.875, 240.125 46.625, 240.375 46.625))"
1361,"POLYGON ((240.625 46.625, 240.625 46.875, 240.375 46.875, 240.375 46.625, 240.625 46.625))"
1362,"POLYGON ((240.875 46.625, 240.875 46.875, 240.625 46.875, 240.625 46.625, 240.875 46.625))"
1363,"POLYGON ((241.125 46.625, 241.125 46.875, 240.875 46.875, 240.875 46.625, 241.125 46.625))"
1364,"POLYGON ((241.375 46.625, 241.375 46.875, 241.125 46.875, 241.125 46.625, 241.375 46.625))"
1365,"POLYGON ((241.625 46.625, 241.625 46.875, 241.375 46.875, 241.375 46.625, 241.625 46.625))"
1366,"POLYGON ((241.875 46.625, 241.875 46.875, 241.625 46.875, 241.625 46.625, 241.875 46.625))"
1367,"POLYGON ((242.125 46.625, 242.125 46.875, 241.875 46.875, 241.875 46.625, 242.125 46.625))"
1368,"POLYGON ((242.375 46.625, 242.375 46.875, 242.125 46.875, 242.125 46.625, 242.375 46.625))"
1369,"POLYGON ((242.625 46.625, 242.625 46.875, 242.375 46.875, 242.375 46.625, 242.625 46.625))"
1370,"POLYGON ((242.875 46.625, 242.875 46.875, 242.625 46.875, 242.625 46.625, 242.875 46.625))"
1371,"POLYGON ((243.125 46.625, 243.125 46.875, 242.875 46.875, 242.875 46.625, 243.125 46.625))"
1372,"POLYGON ((243.375 46.625, 243.375 46.875, 243.125 46.875, 243.125 46.625, 243.375 46.625))"
1373,"POLYGON ((243.625 46.625, 243.625 46.875, 243.375 46.875, 243.375 46.625, 243.625 46.625))"
1374,"POLYGON ((243.875 46.625, 243.875 46.875, 243.625 46.875, 243.625 46.625, 243.875 46.625))"
1375,"POLYGON ((244.125 46.625, 244.125 46.875, 243.875 46.875, 243.875 46.625, 244.125 46.625))"
1376,"POLYGON ((244.375 46.625, 244.375 46.875, 244.125 46.875, 244.125 46.625, 244.375 46.625))"
1377,"POLYGON ((244.625 46.625, 244.625 46.875, 244.375 46.875, 244.375 46.625, 244.625 46.625))"
1378,"POLYGON ((244.875 46.625, 244.875 46.875, 244.625 46.875, 244.625 46.625, 244.875 46.625))"
1379,"POLYGON ((245.125 46.625, 245.125 46.875, 244.875 46.875, 244.875 46.625, 245.125 46.625))"
1380,"POLYGON ((245.375 46.625, 245.375 46.875, 245.125 46.875, 245.125 46.625, 245.375 46.625))"
1381,"POLYGON ((245.625 46.625, 245.625 46.875, 245.375 46.875, 245.375 46.625, 245.625 46.625))"
1382,"POLYGON ((245.875 46.625, 245.875 46.875, 245.625 46.875, 245.625 46.625, 245.875 46.625))"
1383,"POLYGON ((246.125 46.625, 246.125 46.875, 245.875 46.875, 245.875 46.625, 246.125 46.625))"
1384,"POLYGON ((246.375 46.625, 246.375 46.875, 246.125 46.875, 246.125 46.625, 246.375 46.625))"
1385,"POLYGON ((246.625 46.625, 246.625 46.875, 246.375 46.875, 246.375 46.625, 246.625 46.625))"
1386,"POLYGON ((246.875 46.625, 246.875 46.875, 246.625 46.875, 246.625 46.625, 246.875 46.625))"
1387,"POLYGON ((247.125 46.625, 247.125 46.875, 246.875 46.875, 246.875 46.625, 247.125 46.625))"
1388,"POLYGON ((247.375 46.625, 247.375 46.875, 247.125 46.875, 247.125 46.625, 247.375 46.625))"
1389,"POLYGON ((247.625 46.625, 247.625 46.875, 247.375 46.875, 247.375 46.625, 247.625 46.625))"
1390,"POLYGON ((247.875 46.625, 247.875 46.875, 247.625 46.875, 247.625 46.625, 247.875 46.625))"
1391,"POLYGON ((248.125 46.625, 248.125 46.875, 247.875 46.875, 247.875 46.625, 248.125 46.625))"
1392,"POLYGON ((248.375 46.625, 248.375 46.875, 248.125 46.875, 248.125 46.625, 248.375 46.625))"
1393,"POLYGON ((248.625 46.625, 248.625 46.875, 248.375 46.875, 248.375 46.625, 248.625 46.625))"
1394,"POLYGON ((248.875 46.625, 248.875 46.875, 248.625 46.875, 248.625 46.625, 248.875 46.625))"
1395,"POLYGON ((249.125 46.625, 249.125 46.875, 248.875 46.875, 248.875 46.625, 249.125 46.625))"
1396,"POLYGON ((249.375 46.625, 249.375 46.875, 249.125 46.875, 249.125 46.625, 249.375 46.625))"
1397,"POLYGON ((249.625 46.625, 249.625 46.875, 249.375 46.875, 249.375 46.625, 249.625 46.625))"
1398,"POLYGON ((249.875 46.625, 249.875 46.875, 249.625 46.875, 249.625 46.625, 249.875 46.625))"
1399,"POLYGON ((250.125 46.625, 250.125 46.875, 249.875 46.875, 249.875 46.625, 250.125 46.625))"
1400,"POLYGON ((250.375 46.625, 250.375 46.875, 250.125 46.875, 250.125 46.625, 250.375 46.625))"
1401,"POLYGON ((250.625 46.625, 250.625 46.875, 250.375 46.875, 250.375 46.625, 250.625 46.625))"
1402,"POLYGON ((250.875 46.625, 250.875 46.875, 250.625 46.875, 250.625 46.625, 250.875 46.625))"
1403,"POLYGON ((251.125 46.625, 251.125 46.875, 250.875 46.875, 250.875 46.625, 251.125 46.625))"
1404,"POLYGON ((251.375 46.625, 251.375 46.875, 251.125 46.875, 251.125 46.625, 251.375 46.625))"
1405,"POLYGON ((251.625 46.625, 251.625 46.875, 251.375 46.875, 251.375 46.625, 251.625 46.625))"
1406,"POLYGON ((251.875 46.625, 251.875 46.875, 251.625 46.875, 251.625 46.625, 251.875 46.625))"
1407,"POLYGON ((252.125 46.625, 252.125 46.875, 251.875 46.875, 251.875 46.625, 252.125 46.625))"
1408,"POLYGON ((252.375 46.625, 252.375 46.875, 252.125 46.875, 252.125 46.625, 252.375 46.625))"
1409,"POLYGON ((252.625 46.625, 252.625 46.875, 252.375 46.875, 252.375 46.625, 252.625 46.625))"
1410,"POLYGON ((252.875 46.625, 252.875 46.875, 252.625 46.875, 252.625 46.625, 252.875 46.625))"
1411,"POLYGON ((253.125 46.625, 253.125 46.875, 252.875 46.875, 252.875 46.625, 253.125 46.625))"
1412,"POLYGON ((253.375 46.625, 253.375 46.875, 253.125 46.875, 253.125 46.625, 253.375 46.625))"
1413,"POLYGON ((253.625 46.625, 253.625 46.875, 253.375 46.875, 253.375 46.625, 253.625 46.625))"
1414,"POLYGON ((253.875 46.625, 253.875 46.875, 253.625 46.875, 253.625 46.625, 253.875 46.625))"
1415,"POLYGON ((254.125 46.625, 254.125 46.875, 253.875 46.875, 253.875 46.625, 254.125 46.625))"
1416,"POLYGON ((254.375 46.625, 254.375 46.875, 254.125 46.875, 254.125 46.625, 254.375 46.625))"
1417,"POLYGON ((254.625 46.625, 254.625 46.875, 254.375 46.875, 254.375 46.625, 254.625 46.625))"
1418,"POLYGON ((254.875 46.625, 254.875 46.875, 254.625 46.875, 254.625 46.625, 254.875 46.625))"
1419,"POLYGON ((255.125 46.625, 255.125 46.875, 254.875 46.875, 254.875 46.625, 255.125 46.625))"
1420,"POLYGON ((255.375 46.625, 255.375 46.875, 255.125 46.875, 255.125 46.625, 255.375 46.625))"
1421,"POLYGON ((255.625 46.625, 255.625 46.875, 255.375 46.875, 255.375 46.625, 255.625 46.625))"
1422,"POLYGON ((255.875 46.625, 255.875 46.875, 255.625 46.875, 255.625 46.625, 255.875 46.625))"
1423,"POLYGON ((256.125 46.625, 256.125 46.875, 255.875 46.875, 255.875 46.625, 256.125 46.625))"
1424,"POLYGON ((256.375 46.625, 256.375 46.875, 256.125 46.875, 256.125 46.625, 256.375 46.625))"
1425,"POLYGON ((256.625 46.625, 256.625 46.875, 256.375 46.875, 256.375 46.625, 256.625 46.625))"
1426,"POLYGON ((256.875 46.625, 256.875 46.875, 256.625 46.875, 256.625 46.625, 256.875 46.625))"
1427,"POLYGON ((257.125 46.625, 257.125 46.875, 256.875 46.875, 256.875 46.625, 257.125 46.625))"
1428,"POLYGON ((257.375 46.625, 257.375 46.875, 257.125 46.875, 257.125 46.625, 257.375 46.625))"
1429,"POLYGON ((257.625 46.625, 257.625 46.875, 257.375 46.875, 257.375 46.625, 257.625 46.625))"
1430,"POLYGON ((257.875 46.625, 257.875 46.875, 257.625 46.875, 257.625 46.625, 257.875 46.625))"
1431,"POLYGON ((258.125 46.625, 258.125 46.875, 257.875 46.875, 257.875 46.625, 258.125 46.625))"
1432,"POLYGON ((258.375 46.625, 258.375 46.875, 258.125 46.875, 258.125 46.625, 258.375 46.625))"
1433,"POLYGON ((258.625 46.625, 258.625 46.875, 258.375 46.875, 258.375 46.625, 258.625 46.625))"
1434,"POLYGON ((258.875 46.625, 258.875 46.875, 258.625 46.875, 258.625 46.625, 258.875 46.625))"
1435,"POLYGON ((259.125 46.625, 259.125 46.875, 258.875 46.875, 258.875 46.625, 259.125 46.625))"
1436,"POLYGON ((259.375 46.625, 259.375 46.875, 259.125 46.875, 259.125 46.625, 259.375 46.625))"
1437,"POLYGON ((259.625 46.625, 259.625 46.875, 259.375 46.875, 259.375 46.625, 259.625 46.625))"
1438,"POLYGON ((259.875 46.625, 259.875 46.875, 259.625 46.875, 259.625 46.625, 259.875 46.625))"
1439,"POLYGON ((260.125 46.625, 260.125 46.875, 259.875 46.875, 259.875 46.625, 260.125 46.625))"
1440,"POLYGON ((260.375 46.625, 260.375 46.875, 260.125 46.875, 260.125 46.625, 260.375 46.625))"
1441,"POLYGON ((260.625 46.625, 260.625 46.875, 260.375 46.875, 260.375 46.625, 260.625 46.625))"
1442,"POLYGON ((260.875 46.625, 260.875 46.875, 260.625 46.875, 260.625 46.625, 260.875 46.625))"
